cod;nombre;pct_menores_18;pct_mayores_67;pct_migrantes;indice_fecundidad;renta_bruta_persona;pct_solteros;pct_casados;pct_divorciados;pct_cuenta_propia;pct_agricultura;pct_secundario;pct_directores;pct_cualificados;pct_primaria_inferior;pct_secundaria_2a;pct_superior;tasa_paro;tasa_empleo;tasa_actividad
02001;Abengibre;7,79;31,49;6,43;1,05;16478,0;32,34;51,0;5,13;26,38;10,15;20,92;30,87;56,38;27,71;14,06;24,75;7,1;73,98;49,65
02002;Alatoz;8,77;33,6;11,66;0,5;13765,0;30,37;51,84;9,33;31,09;22,28;24,87;22,67;61,63;29,26;13,68;17,89;16,88;66,9;49,25
02003;Albacete;17,14;16,45;10,97;1,16;17923,0;37,01;48,16;8,43;14,52;3,8;15,72;38,91;49,61;13,32;21,71;34,66;11,61;64,2;58,32
02004;Albatana;11,33;28,55;13,17;1,09;12452,0;30,89;50,85;6,48;36,97;28,15;29,83;21,68;65,04;26,82;15,89;16,56;17,23;62,66;49,5
02005;Alborea;10,87;24,53;17,88;1,1;12632,0;35,42;47,63;7,29;36,22;21,83;19,84;21,12;60,34;30,67;15,02;16,12;17,46;58,56;49,84
02006;Alcadozo;10,13;28,56;5,8;0,74;13695,0;30,62;52,94;7,27;31,25;14,41;23,42;26,79;59,33;22,48;16,44;13,76;18,4;59,34;48,9
02007;Alcalá del Júcar;10,71;28,39;10,55;1,19;13714,0;35,74;46,18;6,53;32,88;12,02;16,55;21,95;63,9;25,58;17,02;21,21;12,97;64,48;49,61
02008;Alcaraz;12,55;23,19;4,84;1,04;14400,0;35,79;51,23;5,18;27,58;12,76;17,82;25,24;57,93;18,43;18,77;18,43;16,54;68,04;57,84
02009;Almansa;15,89;19,28;10,1;1,17;15182,0;33,35;51,94;7,59;17,27;2,27;36,48;28,21;62,1;13,51;19,3;24,15;13,98;62,93;56,42
02010;Alpera;14,91;21,33;13,79;1,32;12357,0;34,47;52,23;4,98;27,04;20,59;31,1;17,28;67,12;24,13;14,8;15,25;13,41;63,03;54,73
02011;Ayna;3,69;39,44;4,0;0,65;16795,0;30,14;49,13;6,45;29,55;7,73;22,27;29,19;62,68;22,81;14,07;21,44;15,04;71,29;45,7
02012;Balazote;15,97;16,6;9,59;1,27;13916,0;34,78;54,96;4,33;29,59;26,46;20,98;15,91;65,05;21,36;14,95;14,42;12,81;64,84;58,97
02013;Balsa de Ves;5,48;29,52;10,48;1,11;19400,0;30,65;48,39;8,87;26,53;26,53;22,45;16,67;54,76;22,4;16,8;15,2;20,34;60,26;47,58
02014;Ballestero, El;11,97;31,44;7,3;0,94;14511,0;31,58;50,42;8,31;26,75;21,66;28,66;19,86;63,83;28,46;10,3;16,8;13,29;65,79;47,27
02015;Barrax;14,09;16,74;11,91;1,05;13851,0;34,03;54,61;4,55;21,53;22,26;24,6;18,04;61,21;23,55;12,13;13,63;16,57;62,53;59,93
